pump_idx,equipment_id,check_item_id,u_mean,u_lower,u_upper,rank,significant,u_group
28,315294,0.0,2.4171023608442064,1.8004231825617074,3.0156978097224156,37,True,positive
32,317136,0.0,2.292560204763026,1.6646209590813932,2.9230582463291896,38,True,positive
31,317132,0.0,2.2885924043563426,1.6697134547981063,2.9034632362546984,39,True,positive
95,384187,0.0,2.26071887949282,1.6533084814042143,2.8751143997678854,40,True,positive
29,316620,0.0,2.064820850686887,1.4665119957494681,2.650200948233501,41,True,positive
78,327880,0.0,1.5648938259117269,0.8353057309024314,2.2831488799713053,42,True,positive
36,322203,0.0,1.5121250914900664,0.8242550412736552,2.183876859216679,43,True,positive
15,265768,0.0,1.505783363650781,0.6246418103097363,2.3260494395385662,44,True,positive
17,265775,0.0,1.4421222857476763,0.8127166211821495,2.133030453086528,45,True,positive
19,265777,0.0,1.3600272197728818,0.6607016673825976,2.0457949136462905,46,True,positive
22,270352,0.0,1.1548536089604562,0.5641882180137714,1.7332722557512756,47,True,positive
21,270330,0.0,1.0339820597624323,0.3651466018152094,1.6861967631409376,48,True,positive
81,327883,0.0,1.0065636177016082,0.25696314140932286,1.7042098696021752,49,True,positive
46,327245,0.0,0.9009889086413477,0.09364882773072969,1.629497680127901,50,True,positive
18,265776,0.0,0.8732382420274378,0.15514691194694982,1.6181082653198577,51,True,positive
94,383650,0.0,0.7044711801463925,-0.16463394627025604,1.5309634605125355,52,False,positive
92,383646,0.0,0.6275373008467591,-0.22836634952533355,1.495876777733815,53,False,positive
63,327864,0.0,0.6168841682745031,-0.14834817009419596,1.383940791196696,54,False,positive
67,327869,0.0,0.6140083359255744,-0.15435675588066433,1.3640276382381398,55,False,positive
6,265699,0.0,0.5830770196658017,-0.6234096926677889,1.5962396760668447,56,False,positive
62,327863,0.0,0.390426981718693,-0.4145581492843725,1.1022425523353645,57,False,positive
2,265695,0.0,0.3846695461451996,-0.22422331796280545,0.9919282312970339,58,False,positive
30,316621,0.0,0.36721386265868283,-0.5859825801354499,1.2259071935453254,59,False,positive
89,376721,0.0,0.2506415612113742,-0.49745093270332813,0.9563004466236227,60,False,positive
47,327246,0.0,0.22718451189063724,-0.6762059351019433,1.0526400012576684,61,False,positive
71,327873,0.0,0.0067478203636612884,-0.6553755630290888,0.6667383287439017,62,False,positive
102,389359,0.0,-0.12126449997795975,-0.8201813359676895,0.5550534797255892,63,False,negative
110,519165,0.0,-0.16049229572288543,-6.749694158027689,6.1319491031823805,64,False,negative
26,315214,0.0,-0.16061652958248482,-1.5690475891412767,1.0032317303670948,65,False,negative
90,383643,0.0,-0.2129146481872367,-0.8893990295936345,0.4743688574598333,66,False,negative
10,265707,0.0,-0.2716962156275935,-6.8803644230747105,5.917897009033069,67,False,negative
13,265710,0.0,-0.32443105520185184,-6.719688339578165,5.541192430098012,68,False,negative
12,265709,0.0,-0.32742255983633867,-6.714618822382309,5.519984475377076,69,False,negative
103,389360,0.0,-0.33309668000062337,-1.051810641999279,0.3615677539002941,70,False,negative
11,265708,0.0,-0.37308055236464427,-7.024158742673113,5.87578887344818,71,False,negative
9,265706,0.0,-0.3960154550387732,-6.969595471269902,5.527272819431453,72,False,negative
53,327854,0.0,-0.8400934707532884,-2.49825305982509,0.4711573586535172,73,False,negative
60,327861,0.0,-0.883191486313847,-1.7135484259307734,-0.09727897276566748,74,True,negative
25,315212,0.0,-0.9647526442090002,-2.0324387416270975,0.009589269136621647,75,False,negative
88,339101,0.0,-1.4370758018423666,-4.020128677795364,0.28305412002232533,76,False,negative
87,338934,0.0,-1.4460180519523635,-3.849221015160385,0.2662048332646189,77,False,negative
52,327853,0.0,-1.6322720903418668,-4.054697619486283,0.055516503383964695,78,False,negative
93,383648,0.0,-1.796960046183742,-3.160898291514094,-0.6549923886849564,79,True,negative
76,327878,0.0,-2.627700186194275,-7.885887213266108,0.8145922613586917,80,False,negative
77,327879,0.0,-2.652503533865843,-7.784492531028834,0.8215965178861603,81,False,negative
85,327887,0.0,-2.6687792643768296,-7.40353545931726,0.8736881226310583,82,False,negative
8,265703,0.0,-2.6724297931921734,-4.342574944386317,-1.4754759649916622,83,True,negative
51,327852,0.0,-2.726995526024703,-8.16411000591823,0.7901884996413908,84,False,negative
56,327857,0.0,-2.769165339103111,-7.844596520603803,0.7476260878500753,85,False,negative
57,327858,0.0,-2.8396864171931284,-5.395270594078942,-1.0444263755521548,86,True,negative
7,265702,0.0,-3.3281641113008877,-5.422069704827615,-1.7471687407445435,87,True,negative
86,327888,0.0,-3.5942456842277637,-8.09623890291367,-0.5204252308974251,88,True,negative
91,383644,0.0,-3.706560353011379,-5.986841971661108,-2.0290261085865273,89,True,negative
73,327875,0.0,-3.7696972113027094,-6.193273333653756,-2.0853276516803367,90,True,negative
101,386993,0.0,-3.8889556801044414,-8.19675311683571,-0.9489715541796947,91,True,negative
75,327877,0.0,-4.629488194430237,-8.963895194406696,-1.8398055983249968,92,True,negative
100,386670,0.0,-5.111031785190239,-9.330611976848887,-2.5090500658217176,93,True,negative
69,327871,0.0,-5.127568929618394,-8.843325698815683,-2.6037091728321697,94,True,negative
58,327859,0.0,-5.133301662031913,-9.199136045949114,-2.515777210553547,95,True,negative
109,463017,0.0,-5.134744279484286,-8.92715718735804,-2.462229847448321,96,True,negative
59,327860,0.0,-5.159641251864459,-8.883338464167576,-2.4746664313482225,97,True,negative
68,327870,0.0,-5.173361981848637,-9.039149751402096,-2.544176041620183,98,True,negative
107,426234,0.0,-5.180438186486894,-9.321908256172442,-2.5600136149749084,99,True,negative
99,386669,0.0,-5.18230418187477,-9.386059291955435,-2.575248303938012,100,True,negative
74,327876,0.0,-5.198810191432223,-9.11673021727587,-2.527888680354907,101,True,negative
82,327884,0.0,-5.296888547604074,-9.465527053262266,-2.5662052809530453,102,True,negative
66,327867,0.0,-5.326378546662345,-9.493894549390491,-2.7017426034726655,103,True,negative
108,426235,0.0,-5.364902678456801,-9.718065858284348,-2.651253996604011,104,True,negative
64,327865,0.0,-5.372655362507589,-9.185086010216638,-2.8056197686126847,105,True,negative
84,327886,0.0,-5.418853081334576,-9.501048771690263,-2.8004238395888597,106,True,negative
72,327874,0.0,-5.428331078032167,-9.579614286637804,-2.8956868195218863,107,True,negative
61,327862,0.0,-5.429093828198656,-9.987931103909837,-2.7664144582715813,108,True,negative
83,327885,0.0,-5.544771044004172,-9.364256873960294,-2.9184174939387457,109,True,negative
65,327866,0.0,-5.548919322181509,-9.581968881442362,-2.9832740526136203,110,True,negative
70,327872,0.0,-5.55687042008248,-9.636530523132405,-2.9769777884338726,111,True,negative
106,421465,0.0,-5.605833252414094,-9.664957561332768,-2.924384192109084,112,True,negative
